OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v;;
2;3574450;7074350;Valtimo;2060;19610619;1961;6;19;3575000;7075000;12.2;17.3;8.7;2;17366;10.44;307.7;250;;
2;3574450;7074350;Valtimo;2060;19610620;1961;6;20;3575000;7075000;11.4;15.3;7;0;14562;8.74;314.1;250;;
2;3574450;7074350;Valtimo;2060;19610621;1961;6;21;3575000;7075000;11.3;16.2;6.3;2;15462;9.23;320.4;252;;
2;3574450;7074350;Valtimo;2060;19610622;1961;6;22;3575000;7075000;12.4;17.5;8;0;19255;9.16;327.8;252;;
2;3574450;7074350;Valtimo;2060;19610623;1961;6;23;3575000;7075000;12.5;17.2;7;4;13888;10.91;335.3;256;;
2;3574450;7074350;Valtimo;2060;19610624;1961;6;24;3575000;7075000;11.8;14.2;9.8;5;11060;12.25;342.1;261;;
2;3574450;7074350;Valtimo;2060;19610625;1961;6;25;3575000;7075000;11.3;15.6;7.3;8;14393;11.55;348.4;269;;
2;3574450;7074350;Valtimo;2060;19610626;1961;6;26;3575000;7075000;12.6;17.7;8.6;0;15179;10.89;356;269;;
2;3574450;7074350;Valtimo;2060;19610627;1961;6;27;3575000;7075000;13.5;17.9;7.9;6;18565;10.26;364.5;275;;
2;3574450;7074350;Valtimo;2060;19610628;1961;6;28;3575000;7075000;12.9;16.8;7.5;1;6279;14.14;372.4;276;;
2;3574450;7074350;Valtimo;2060;19610629;1961;6;29;3575000;7075000;13;18;8.5;1;17077;9.85;380.4;277;;
2;3574450;7074350;Valtimo;2060;19610630;1961;6;30;3575000;7075000;11.1;15.4;7.3;0;19524;8.43;386.5;277;;
2;3574450;7074350;Valtimo;2060;19610701;1961;7;1;3575000;7075000;13;16.5;8.1;0;15584;8.73;394.5;277;;
2;3574450;7074350;Valtimo;2060;19610702;1961;7;2;3575000;7075000;14.3;18.8;8.7;0;21484;9.98;403.8;277;;
2;3574450;7074350;Valtimo;2060;19610703;1961;7;3;3575000;7075000;15.9;21.7;7.9;5;18260;11.6;414.7;282;;
2;3574450;7074350;Valtimo;2060;19610704;1961;7;4;3575000;7075000;12.4;16.6;10.1;0;11679;10.99;422.1;282;;
2;3574450;7074350;Valtimo;2060;19610705;1961;7;5;3575000;7075000;12.5;16.6;7.3;5;11965;13.24;429.6;287;;
2;3574450;7074350;Valtimo;2060;19610706;1961;7;6;3575000;7075000;14.9;18.9;10;0;14476;11.97;439.5;287;;
2;3574450;7074350;Valtimo;2060;19610707;1961;7;7;3575000;7075000;13;16.9;6.9;0;15965;12.32;447.5;287;;
2;3574450;7074350;Valtimo;2060;19610708;1961;7;8;3575000;7075000;14.7;19.3;7.5;0;18183;11.43;457.2;287;;
2;3574450;7074350;Valtimo;2060;19610709;1961;7;9;3575000;7075000;13.3;17.5;6.1;9;18404;10.65;465.5;296;;
2;3574450;7074350;Valtimo;2060;19610710;1961;7;10;3575000;7075000;13.4;16.2;11;9;19729;13.85;473.9;305;;
2;3574450;7074350;Valtimo;2060;19610711;1961;7;11;3575000;7075000;16.9;21.5;12.1;0;11827;15.23;485.8;305;;
2;3574450;7074350;Valtimo;2060;19610712;1961;7;12;3575000;7075000;18.4;24;11.3;1;20143;14.09;499.2;306;;
2;3574450;7074350;Valtimo;2060;19610713;1961;7;13;3575000;7075000;17.2;21.9;13.4;6;18462;15.73;511.4;312;;
2;3574450;7074350;Valtimo;2060;19610714;1961;7;14;3575000;7075000;20.2;27.3;14.5;2;21095;16.8;526.6;314;;
2;3574450;7074350;Valtimo;2060;19610715;1961;7;15;3575000;7075000;20.3;26.2;14.6;2;16088;17.61;541.9;316;;
2;3574450;7074350;Valtimo;2060;19610716;1961;7;16;3575000;7075000;21.6;26.7;16.3;0;13557;17.87;558.5;316;;
2;3574450;7074350;Valtimo;2060;19610717;1961;7;17;3575000;7075000;21.5;26.3;13.8;0;16531;16.29;575;316;;
2;3574450;7074350;Valtimo;2060;19610718;1961;7;18;3575000;7075000;21;26.9;12.3;0;21323;17.36;591;316;;
2;3574450;7074350;Valtimo;2060;19610719;1961;7;19;3575000;7075000;20.7;26.8;12.8;0;11579;18.47;606.7;316;;
2;3574450;7074350;Valtimo;2060;19610720;1961;7;20;3575000;7075000;19.1;23.7;15.5;6;17168;16.57;620.8;322;;
